,Quarter,Tm,Detail,STL,ATL
0,1.0,Falcons,Ernie Wheelwright 9 yard pass from Randy Johnson (Lou Kirouac kick),0,7
1,2.0,Cardinals,Jim Bakken 27 yard field goal,3,7
2,2.0,Falcons,Lou Kirouac 26 yard field goal,3,10
3,2.0,Falcons,Lou Kirouac 47 yard field goal,3,13
4,4.0,Falcons,Lou Kirouac 14 yard field goal,3,16
5,4.0,Cardinals,Terry Nofsinger 2 yard rush (Jim Bakken kick),10,16
