,Quarter,Tm,Detail,CHI,NYY
0,1.0,Bears,George Blanda 38 yard field goal,3,0
1,2.0,Bears,Johnny Lujack 1 yard rush (George Blanda kick),10,0
2,2.0,Bears,Johnny Lujack 4 yard rush (George Blanda kick),17,0
3,2.0,Yanks,Dan Garza 69 yard pass from Bob Celeri (Harvey Johnson kick),17,7
4,2.0,Bears,Chuck Hunsinger 9 yard rush (George Blanda kick),24,7
5,3.0,Yanks,Sherman Howard 3 yard rush (Harvey Johnson kick),24,14
6,3.0,Bears,Johnny Lujack 3 yard rush (George Blanda kick),31,14
7,3.0,Bears,Julie Rykovich 56 yard rush (George Blanda kick),38,14
8,4.0,Bears,Ed Sprinkle 4 yard pass from Johnny Lujack (George Blanda kick),45,14
9,4.0,Yanks,George Taliaferro 22 yard pass from Bob Celeri (Harvey Johnson kick),45,21
