,Quarter,Time,Tm,Detail,SEA,GNB
0,1.0,13:30,Packers,Davante Adams 66 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,6:16,Seahawks,Stephen Hauschka 28 yard field goal,3,7
2,2.0,9:36,Packers,Ty Montgomery 1 yard rush (Mason Crosby kick),3,14
3,2.0,5:15,Packers,Jordy Nelson 9 yard pass from Aaron Rodgers (Mason Crosby kick),3,21
4,3.0,4:24,Packers,Jordy Nelson 3 yard pass from Aaron Rodgers (Mason Crosby kick),3,28
5,4.0,10:31,Packers,Mason Crosby 38 yard field goal,3,31
6,4.0,8:21,Seahawks,Tanner McEvoy 21 yard pass from Russell Wilson (Stephen Hauschka kick),10,31
7,4.0,5:43,Packers,Jeff Janis 19 yard rush (Mason Crosby kick),10,38
