,Quarter,Tm,Detail,KAN,RAI
0,1.0,Chiefs,Christian Okoye 2 yard rush (Nick Lowery kick),7,0
1,1.0,Raiders,Jeff Jaeger 24 yard field goal,7,3
2,2.0,Raiders,Bo Jackson 2 yard rush (Jeff Jaeger kick),7,10
3,3.0,Raiders,Jeff Jaeger 50 yard field goal,7,13
4,4.0,Raiders,Vance Mueller 6 yard rush (Jeff Jaeger kick),7,20
5,4.0,Chiefs,Robb Thomas 11 yard pass from Steve DeBerg (Nick Lowery kick),14,20
