,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Clarke Hinkle 17 yard field goal,0,3
1,2.0,Packers,Milt Gantenbein 12 yard pass from Arnie Herber (Tiny Engebretsen kick),0,10
2,2.0,Packers,Clarke Hinkle 1 yard rush,0,17
3,2.0,Packers,Bernie Scherer 18 yard pass from Bob Monnett,0,24
4,2.0,Cardinals,Gaynell Tinsley 33 yard pass from George Grosvenor (Bill May kick),7,24
5,3.0,Packers,Ed Jankowski 46 yard rush,7,31
6,3.0,Packers,Tiny Engebretsen 19 yard field goal,7,34
7,4.0,Cardinals,Pat Coffee 3 yard rush,13,34
