,Quarter,Time,Tm,Detail,CIN,SEA
0,1.0,12:06,Seahawks,Ricky Watters 19 yard rush (Todd Peterson kick),0,7
1,1.0,10:02,Bengals,Doug Pelfrey 50 yard field goal,3,7
2,1.0,6:36,Seahawks,Ricky Watters 8 yard pass from Jon Kitna (Todd Peterson kick),3,14
3,1.0,2:02,Bengals,Carl Pickens 75 yard pass from Jeff Blake (Doug Pelfrey kick),10,14
4,2.0,10:48,Seahawks,Mike Pritchard 20 yard pass from Jon Kitna (Todd Peterson kick),10,21
5,2.0,4:59,Seahawks,Derrick Mayes 10 yard pass from Jon Kitna (Todd Peterson kick),10,28
6,3.0,10:45,Seahawks,Todd Peterson 29 yard field goal,10,31
7,3.0,5:38,Bengals,Doug Pelfrey 34 yard field goal,13,31
8,4.0,12:25,Seahawks,Todd Peterson 45 yard field goal,13,34
9,4.0,3:53,Bengals,Jeff Blake 1 yard rush (Doug Pelfrey kick),20,34
10,4.0,1:30,Seahawks,Todd Peterson 35 yard field goal,20,37
