,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,10:29,Jets,Nick Folk 51 yard field goal,0,3
1,2.0,14:56,Jets,Brandon Marshall 1 yard pass from Ryan Fitzpatrick (Nick Folk kick),0,10
2,2.0,10:45,Patriots,Stephen Gostkowski 28 yard field goal,3,10
3,2.0,6:29,Patriots,Malcolm Mitchell 4 yard pass from Tom Brady (Stephen Gostkowski kick),10,10
4,3.0,7:34,Patriots,Stephen Gostkowski 29 yard field goal,13,10
5,4.0,10:17,Jets,Quincy Enunwa 22 yard pass from Ryan Fitzpatrick (Nick Folk kick),13,17
6,4.0,7:02,Patriots,Stephen Gostkowski 41 yard field goal,16,17
7,4.0,1:56,Patriots,Malcolm Mitchell 8 yard pass from Tom Brady,22,17
