,Quarter,Time,Tm,Detail,CAR,PIT
0,1.0,10:17,Steelers,Kris Brown 46 yard field goal,0,3
1,1.0,3:35,Steelers,Travis Davis 102 yard defensive fumble return (Kris Brown kick),0,10
2,1.0,1:55,Panthers,Fred Lane 41 yard rush (John Kasay kick),7,10
3,2.0,11:03,Steelers,Richard Huntley 25 yard rush,7,16
4,2.0,6:59,Panthers,Patrick Jeffers 88 yard pass from Steve Beuerlein,13,16
5,2.0,1:36,Steelers,Hines Ward 9 yard pass from Mike Tomczak (Kris Brown kick),13,23
6,2.0,0:03,Panthers,Patrick Jeffers 43 yard pass from Steve Beuerlein (John Kasay kick),20,23
7,4.0,2:26,Steelers,Jerome Bettis 8 yard rush (Kris Brown kick),20,30
