,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,Bob Klein 44 yard pass from James Harris (Tom Dempsey kick),0,7
1,1.0,Rams,Tom Dempsey 35 yard field goal,0,10
2,2.0,Rams,Tom Dempsey 25 yard field goal,0,13
3,2.0,Rams,Tom Dempsey 20 yard field goal,0,16
4,3.0,Rams,Harold Jackson 28 yard pass from James Harris,0,22
5,4.0,Falcons,Alfred Jenkins 5 yard pass from Pat Sullivan (Nick Mike-Mayer kick),7,22
