,Quarter,Tm,Detail,ATL,DET
0,1.0,Lions,Mike Weger 52 yard defensive fumble return (Errol Mann kick),0,7
1,1.0,Lions,Steve Owens 2 yard rush (Errol Mann kick),0,14
2,1.0,Falcons,Jim Mitchell 13 yard pass from Bob Berry (Bill Bell kick),7,14
3,2.0,Falcons,Bill Bell 36 yard field goal,10,14
4,2.0,Lions,Ron Jessie 97 yard kickoff return (Errol Mann kick),10,21
5,2.0,Falcons,Ken Burrow 56 yard pass from Bob Berry (Bill Bell kick),17,21
6,2.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),24,21
7,2.0,Lions,Larry Walton 56 yard pass from Greg Landry (Errol Mann kick),24,28
8,3.0,Lions,Charlie Sanders 16 yard pass from Greg Landry (Errol Mann kick),24,35
9,3.0,Lions,Errol Mann 18 yard field goal,24,38
10,3.0,Falcons,Ken Burrow 25 yard pass from Bob Berry (Bill Bell kick),31,38
11,4.0,Lions,Errol Mann 13 yard field goal,31,41
12,4.0,Falcons,Tom Hayes 20 yard blocked punt return (Bill Bell kick),38,41
