,Quarter,Tm,Detail,MIA,NWE
0,2.0,Patriots,Andy Johnson 15 yard pass from Steve Grogan,0,6
1,2.0,Dolphins,Andre Tillman 5 yard pass from Bob Griese (Garo Yepremian kick),7,6
2,2.0,Patriots,Steve Grogan 13 yard rush (John Smith kick),7,13
3,3.0,Patriots,Andy Johnson 29 yard pass from Steve Grogan (John Smith kick),7,20
4,4.0,Patriots,John Smith 22 yard field goal,7,23
5,4.0,Dolphins,Norm Bulaich 1 yard rush (Garo Yepremian kick),14,23
6,4.0,Patriots,Russ Francis 4 yard pass from Steve Grogan (John Smith kick),14,30
