,Quarter,Tm,Detail,GNB,CRD
0,1.0,Packers,Johnny Blood unknown yard pass from Arnie Herber (Harry O'Boyle kick),7,0
1,2.0,Packers,Johnny Blood 17 yard pass from Arnie Herber,13,0
2,2.0,Cardinals,Tim Moynihan blocked punt recovery in end zone (Irv Hill kick),13,7
3,3.0,Cardinals,"Safety, Herber recovered own fumble in end zone",13,9
4,4.0,Packers,Clarke Hinkle unknown yard rush,19,9
