,Quarter,Tm,Detail,OAK,KAN
0,1.0,Raiders,Dave Casper 15 yard pass from Ken Stabler (Fred Steinfort kick),7,0
1,2.0,Raiders,Cliff Branch 10 yard pass from Ken Stabler (Fred Steinfort kick),14,0
2,2.0,Raiders,Fred Steinfort 37 yard field goal,17,0
3,3.0,Chiefs,MacArthur Lane 1 yard rush (Jan Stenerud kick),17,7
4,4.0,Raiders,Mike Siani 14 yard pass from Ken Stabler (Fred Steinfort kick),24,7
5,4.0,Chiefs,Mike Livingston 1 yard rush (Jan Stenerud kick),24,14
6,4.0,Chiefs,Billy Masters 25 yard pass from Mike Livingston (Jan Stenerud kick),24,21
