,Quarter,Time,Tm,Detail,NWE,BUF
0,1.0,6:49,Patriots,Stevan Ridley 6 yard rush (Stephen Gostkowski kick),7,0
1,2.0,9:43,Bills,Scott Chandler 24 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,7
2,2.0,3:30,Bills,Scott Chandler 20 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,14
3,3.0,11:08,Bills,Donald Jones 68 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,21
4,3.0,8:10,Patriots,Danny Woodhead 17 yard pass from Tom Brady (Stephen Gostkowski kick),14,21
5,3.0,3:53,Patriots,Tom Brady 4 yard rush (Stephen Gostkowski kick),21,21
6,4.0,14:55,Patriots,Rob Gronkowski 28 yard pass from Tom Brady (Stephen Gostkowski kick),28,21
7,4.0,11:42,Patriots,Stevan Ridley 2 yard rush (Stephen Gostkowski kick),35,21
8,4.0,10:29,Patriots,Brandon Bolden 7 yard rush (Stephen Gostkowski kick),42,21
9,4.0,6:32,Bills,Brad Smith 35 yard pass from Ryan Fitzpatrick (Rian Lindell kick),42,28
10,4.0,4:02,Patriots,Brandon Lloyd 25 yard pass from Tom Brady (Stephen Gostkowski kick),49,28
11,4.0,1:56,Patriots,Stephen Gostkowski 30 yard field goal,52,28
