,Quarter,Tm,Detail,MIN,CHI
0,1.0,Bears,Mike Adamle 14 yard rush (Bob Thomas kick),0,7
1,2.0,Vikings,Fred Cox 52 yard field goal,3,7
2,2.0,Vikings,Jim Lash 45 yard pass from Fran Tarkenton (Fred Cox kick),10,7
3,3.0,Bears,"Safety, Hartenstine tackled Tarkenton in end zone",10,9
4,3.0,Vikings,Fred Cox 46 yard field goal,13,9
