,Quarter,Tm,Detail,PIT,SDG
0,1.0,Chargers,"Safety, Bradshaw tackled by Costa in end zone",0,2
1,1.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),7,2
2,2.0,Steelers,John Fuqua 2 yard rush (Roy Gerela kick),14,2
3,3.0,Steelers,Roy Gerela 26 yard field goal,17,2
4,4.0,Steelers,Ron Shanklin 17 yard pass from Terry Bradshaw (Roy Gerela kick),24,2
