,Quarter,Tm,Detail,BKN,BOS
0,2,Dodgers,Ralph Kercheval 25 yard field goal,3,0
1,4,Redskins,Flavio Tosi 31 yard pass from Bill Shepherd (Bill Shepherd kick),3,7
