,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,7:12,Steelers,Shaun Suisham 46 yard field goal,3,0
1,2.0,13:52,Ravens,Justin Tucker 45 yard field goal,3,3
2,2.0,9:34,Ravens,Justin Tucker 23 yard field goal,3,6
3,2.0,3:16,Ravens,Anquan Boldin 28 yard pass from Joe Flacco (Justin Tucker kick),3,13
4,2.0,0:32,Steelers,Shaun Suisham 41 yard field goal,6,13
5,3.0,11:05,Steelers,Jonathan Dwyer 16 yard rush (Shaun Suisham kick),13,13
6,3.0,4:50,Ravens,Ray Rice 34 yard rush (Justin Tucker kick),13,20
7,4.0,7:24,Steelers,Heath Miller 7 yard pass from Charlie Batch (Shaun Suisham kick),20,20
8,4.0,0:00,Steelers,Shaun Suisham 42 yard field goal,23,20
