,Quarter,Tm,Detail,NWE,IND
0,1,Patriots,Greg Davis 47 yard field goal,3,0
1,1,Colts,Andre Rison 22 yard pass from Jack Trudeau (Dean Biasucci kick),3,7
2,1,Colts,Dean Biasucci 32 yard field goal,3,10
3,3,Patriots,Cedric Jones 8 yard pass from Steve Grogan (Greg Davis kick),10,10
4,4,Patriots,Greg Davis 48 yard field goal,13,10
5,4,Colts,Mark Boyer 7 yard pass from Jack Trudeau (Dean Biasucci kick),13,17
6,4,Patriots,John Stephens 1 yard rush (Greg Davis kick),20,17
7,4,Colts,Dean Biasucci 39 yard field goal,20,20
8,OT,Patriots,Greg Davis 51 yard field goal,23,20
