,Quarter,Time,Tm,Detail,ATL,JAX
0,1.0,,Jaguars,Mark Brunell 11 yard rush (Mike Hollis kick),0,7
1,2.0,,Falcons,Morten Andersen 46 yard field goal,3,7
2,2.0,,Jaguars,Mike Hollis 23 yard field goal,3,10
3,2.0,,Jaguars,Mike Hollis 26 yard field goal,3,13
4,3.0,,Jaguars,Mike Hollis 22 yard field goal,3,16
5,3.0,,Falcons,Eric Metcalf 4 yard pass from Bobby Hebert (Morten Andersen kick),10,16
6,4.0,,Jaguars,Mike Hollis 42 yard field goal,10,19
7,4.0,,Falcons,Craig Heyward 2 yard rush (Morten Andersen kick),17,19
