,Quarter,Time,Tm,Detail,CAR,DAL
0,1.0,0:00,Panthers,Brad Hoover 25 yard pass from Rodney Peete (Shayne Graham kick),7,0
1,3.0,1:35,Panthers,Shayne Graham 50 yard field goal,10,0
2,4.0,4:48,Panthers,Shayne Graham 44 yard field goal,13,0
3,4.0,3:55,Cowboys,Joey Galloway 80 yard pass from Quincy Carter (Billy Cundiff kick),13,7
4,4.0,0:56,Cowboys,Antonio Bryant 24 yard pass from Quincy Carter (Billy Cundiff kick),13,14
