,Quarter,Time,Tm,Detail,KAN,ATL
0,1.0,10:02,Falcons,Devonta Freeman 1 yard rush (Matt Bryant kick),0,7
1,1.0,8:00,Chiefs,Spencer Ware 3 yard rush (Cairo Santos kick failed),6,7
2,1.0,5:11,Falcons,Matt Bryant 22 yard field goal,6,10
3,2.0,13:25,Falcons,Matt Bryant 22 yard field goal,6,13
4,2.0,7:05,Chiefs,Spencer Ware 3 yard pass from Alex Smith (Cairo Santos kick),13,13
5,2.0,0:37,Chiefs,Eric Berry 37 yard interception return (Cairo Santos kick),20,13
6,2.0,0:00,Falcons,Matt Bryant 59 yard field goal,20,16
7,3.0,12:52,Chiefs,Albert Wilson 55 yard rush (Cairo Santos kick),27,16
8,4.0,11:57,Falcons,Devonta Freeman 1 yard rush (pass failed),27,22
9,4.0,4:32,Falcons,Aldrick Robinson 5 yard pass from Matt Ryan (pass failed),27,28
10,4.0,4:32,Chiefs,Eric Berry defensive extra point return,29,28
