,Quarter,Tm,Detail,NYG,SDG
0,1.0,Giants,Raul Allegre 21 yard field goal,3,0
1,2.0,Chargers,Chris Bahr 26 yard field goal,3,3
2,2.0,Giants,Raul Allegre 40 yard field goal,6,3
3,3.0,Giants,Ottis Anderson 4 yard rush (Raul Allegre kick),13,3
4,3.0,Chargers,Chris Bahr 30 yard field goal,13,6
5,4.0,Giants,Ottis Anderson 4 yard rush (Raul Allegre kick),20,6
6,4.0,Chargers,Vencie Glenn 81 yard defensive fumble return (Chris Bahr kick),20,13
