,Quarter,Tm,Detail,DEN,PIT
0,1.0,Broncos,Jim Turner 32 yard field goal,3,0
1,1.0,Steelers,Roy Gerela 15 yard field goal,3,3
2,2.0,Steelers,Roy Gerela 13 yard field goal,3,6
3,2.0,Broncos,Jim Turner 11 yard field goal,6,6
4,3.0,Broncos,Floyd Little 10 yard rush (Jim Turner kick),13,6
5,4.0,Steelers,Ron Shanklin 42 yard pass from Terry Hanratty (Roy Gerela kick),13,13
6,4.0,Broncos,Jim Turner 46 yard field goal,16,13
7,4.0,Broncos,Riley Odoms 2 yard pass from Charley Johnson (Jim Turner kick),23,13
