,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Bo Scott 14 yard pass from Bill Nelsen (Don Cockroft kick),0,7
1,2.0,Oilers,Joe Dawkins 40 yard rush (Roy Gerela kick),7,7
2,2.0,Browns,Leroy Kelly 2 yard rush (Don Cockroft kick),7,14
3,3.0,Browns,Chip Glass 7 yard pass from Bill Nelsen (Don Cockroft kick),7,21
4,3.0,Browns,Chip Glass 78 yard pass from Bill Nelsen (Don Cockroft kick),7,28
5,4.0,Oilers,Joe Dawkins 8 yard rush (Roy Gerela kick),14,28
