,Quarter,Time,Tm,Detail,SEA,OAK
0,1.0,7:24,Raiders,Michael Husted 18 yard field goal,0,3
1,2.0,11:41,Raiders,Tim Brown 14 yard pass from Rich Gannon (Michael Husted kick),0,10
2,2.0,6:36,Raiders,Tim Brown 5 yard pass from Rich Gannon (Michael Husted kick),0,17
3,2.0,0:31,Seahawks,Ricky Watters 8 yard rush (Todd Peterson kick),7,17
4,3.0,10:54,Seahawks,Joey Galloway 31 yard pass from Jon Kitna (Todd Peterson kick),14,17
5,3.0,3:31,Raiders,Zack Crockett 1 yard rush (Michael Husted kick),14,24
6,4.0,14:17,Raiders,Michael Husted 41 yard field goal,14,27
7,4.0,10:55,Seahawks,Sean Dawkins 3 yard pass from Jon Kitna (Todd Peterson kick),21,27
8,4.0,1:53,Raiders,Michael Husted 23 yard field goal,21,30
