,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,,Colts,Mike Vanderjagt 31 yard field goal,0,3
1,1.0,,Jets,John Hall 37 yard field goal,3,3
2,1.0,,Colts,Torrance Small 3 yard pass from Peyton Manning (Mike Vanderjagt kick),3,10
3,2.0,,Jets,Wayne Chrebet 63 yard pass from Vinny Testaverde (John Hall kick),10,10
4,2.0,,Jets,John Hall 40 yard field goal,13,10
5,2.0,0:25,Jets,John Hall 25 yard field goal,16,10
6,2.0,0:01,Jets,Aaron Glenn 104 yard field goal return (John Hall kick),23,10
7,3.0,0:01,Colts,Marvin Harrison 38 yard pass from Peyton Manning (Mike Vanderjagt kick),23,17
8,4.0,0:30,Colts,Marcus Pollard 14 yard pass from Peyton Manning (Mike Vanderjagt kick),23,24
