,Quarter,Time,Tm,Detail,SEA,CAR
0,2.0,9:36,Seahawks,Stephen Hauschka 27 yard field goal,3,0
1,2.0,3:13,Panthers,Steve Smith 3 yard pass from Cam Newton (Graham Gano kick),3,7
2,3.0,2:22,Seahawks,Stephen Hauschka 40 yard field goal,6,7
3,4.0,10:13,Seahawks,Jermaine Kearse 43 yard pass from Russell Wilson (pass failed),12,7
