,Quarter,Tm,Detail,MIA,BUF
0,2.0,Dolphins,Uwe von Schamann 42 yard field goal,3,0
1,2.0,Bills,Joe Ferguson 1 yard offensive fumble return (Nick Mike-Mayer kick),3,7
2,2.0,Dolphins,Uwe von Schamann 29 yard field goal,6,7
3,4.0,Dolphins,Uwe von Schamann 21 yard field goal,9,7
