,Quarter,Tm,Detail,NYY,DET
0,1.0,Lions,Doak Walker 13 yard field goal,0,3
1,1.0,Yanks,Harvey Johnson 28 yard field goal,3,3
2,1.0,Lions,Doak Walker 18 yard pass from Bobby Layne (Doak Walker kick),3,10
3,1.0,Yanks,Buddy Young 39 yard pass from John Rauch (Harvey Johnson kick),10,10
4,2.0,Lions,Pat Harder 7 yard rush (Doak Walker kick),10,17
5,4.0,Lions,Bob Hoernschemeyer 23 yard pass from Bobby Layne (Doak Walker kick),10,24
6,4.0,Lions,Doak Walker 50 yard pass from Bobby Layne (Doak Walker kick),10,31
7,4.0,Lions,Pat Harder 7 yard rush,10,37
