,Quarter,Time,Tm,Detail,CAR,BUF
0,2.0,,Panthers,John Kasay 34 yard field goal,3,0
1,2.0,,Panthers,John Kasay 52 yard field goal,6,0
2,3.0,,Panthers,John Kasay 32 yard field goal,9,0
3,3.0,,Bills,Russell Copeland 77 yard pass from Jim Kelly (Steve Christie kick),9,7
4,3.0,,Bills,Thurman Thomas 4 yard rush (Steve Christie kick),9,14
5,3.0,,Bills,Darick Holmes 3 yard rush (Steve Christie kick),9,21
6,3.0,,Bills,Kurt Schulz 32 yard interception return (Steve Christie kick),9,28
7,4.0,,Bills,Steve Christie 39 yard field goal,9,31
