,Quarter,Tm,Detail,KAN,BUF
0,1.0,Bills,Andre Reed 25 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,2.0,Bills,Andre Reed 53 yard pass from Jim Kelly (Scott Norwood kick),0,14
2,2.0,Bills,Scott Norwood 33 yard field goal,0,17
3,3.0,Bills,James Lofton 10 yard pass from Jim Kelly (Scott Norwood kick),0,24
4,3.0,Chiefs,Barry Word 3 yard rush (Nick Lowery kick),7,24
5,4.0,Bills,Scott Norwood 20 yard field goal,7,27
6,4.0,Bills,Scott Norwood 47 yard field goal,7,30
7,4.0,Bills,Kenneth Davis 5 yard rush (Scott Norwood kick),7,37
8,4.0,Chiefs,Fred Jones 20 yard pass from Mark Vlasic (Nick Lowery kick),14,37
