,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,6:50,Ravens,Matt Stover 23 yard field goal,3,0
1,1.0,3:58,Ravens,Qadry Ismail 53 yard pass from Tony Banks (Matt Stover kick),10,0
2,2.0,0:00,Ravens,Matt Stover 26 yard field goal,13,0
3,3.0,11:31,Ravens,Matt Stover 33 yard field goal,16,0
