,Quarter,Tm,Detail,NOR,WAS
0,1.0,Saints,Brett Perriman 16 yard pass from Steve Walsh (Morten Andersen kick),7,0
1,1.0,Redskins,Chip Lohmiller 39 yard field goal,7,3
2,2.0,Redskins,Gary Clark 8 yard pass from Mark Rypien (Chip Lohmiller kick),7,10
3,2.0,Saints,Morten Andersen 38 yard field goal,10,10
4,2.0,Redskins,Art Monk 7 yard pass from Mark Rypien (Chip Lohmiller kick),10,17
5,3.0,Redskins,Gary Clark 19 yard pass from Mark Rypien (Chip Lohmiller kick),10,24
6,3.0,Redskins,Kelvin Bryant 3 yard pass from Mark Rypien (Chip Lohmiller kick),10,31
7,4.0,Saints,Floyd Turner 8 yard pass from Steve Walsh (Morten Andersen kick),17,31
