,Quarter,Tm,Detail,DAL,CHI
0,1.0,Cowboys,Rafael Septien 44 yard field goal,3,0
1,1.0,Bears,Jim McMahon 16 yard rush (Bob Thomas kick),3,7
2,1.0,Cowboys,Tony Dorsett 68 yard pass from Gary Hogeboom (Rafael Septien kick),10,7
3,2.0,Bears,Walter Payton 20 yard rush (Bob Thomas kick),10,14
4,2.0,Cowboys,Timmy Newsome 2 yard rush (Rafael Septien kick),17,14
5,3.0,Cowboys,Rafael Septien 32 yard field goal,20,14
6,4.0,Cowboys,Rafael Septien 23 yard field goal,23,14
