,Quarter,Tm,Detail,MIL,BUF
0,2.0,Badgers,Ben Winkelman unknown yard pass from Red Dunn,6,0
1,3.0,Badgers,Evar Swanson unknown yard pass from Red Dunn (Red Dunn kick),13,0
2,3.0,Badgers,Red Dunn 18 yard field goal,16,0
3,4.0,Badgers,Clem Neacy unknown yard pass from Red Dunn (Red Dunn kick),23,0
