,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Matt Bahr 18 yard field goal,3,0
1,1.0,Oilers,Toni Fritsch 32 yard field goal,3,3
2,2.0,Browns,Matt Bahr 19 yard field goal,6,3
3,3.0,Oilers,Dave Casper 30 yard pass from Gifford Nielsen (Toni Fritsch kick),6,10
4,3.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),6,17
5,4.0,Browns,Cleo Miller 1 yard rush (Matt Bahr kick),13,17
