,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,Bruce Gossett 25 yard field goal,3,0
1,2.0,Colts,Raymond Berry 8 yard pass from Johnny Unitas (Lou Michaels kick),3,7
2,2.0,Colts,Johnny Unitas 18 yard rush (Lou Michaels kick),3,14
3,2.0,Rams,Tommy McDonald 3 yard pass from Bill Munson (Bruce Gossett kick),10,14
4,3.0,Rams,Tommy McDonald 7 yard pass from Bill Munson (Bruce Gossett kick),17,14
5,3.0,Rams,Bruce Gossett 35 yard field goal,20,14
6,4.0,Colts,Jimmy Orr 15 yard pass from Johnny Unitas (Lou Michaels kick),20,21
7,4.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),20,28
8,4.0,Colts,Jimmy Orr 25 yard pass from Johnny Unitas (Lou Michaels kick),20,35
