,Quarter,Tm,Detail,CHI,BAL
0,1,Bears,Gale Sayers 61 yard rush (Roger LeClerc kick),7,0
1,2,Bears,Roger LeClerc 12 yard field goal,10,0
2,3,Bears,Roger LeClerc 21 yard field goal,13,0
