,Quarter,Tm,Detail,NYG,RAM
0,1.0,Giants,Joe Danelo 49 yard field goal,3,0
1,2.0,Giants,Gary Shirk 19 yard pass from Phil Simms (Joe Danelo kick),10,0
2,3.0,Giants,Joe Danelo 31 yard field goal,13,0
3,3.0,Rams,Eddie Hill 21 yard pass from Pat Haden (Frank Corral kick),13,7
4,4.0,Giants,Johnny Perkins 14 yard pass from Phil Simms (Joe Danelo kick),20,7
5,4.0,Rams,Preston Dennard 3 yard pass from Pat Haden (Frank Corral kick),20,14
