,Quarter,Tm,Detail,ATL,GNB
0,1.0,Packers,Donny Anderson 16 yard rush (Mike Mercer kick),0,7
1,2.0,Falcons,Bob Etter 34 yard field goal,3,7
2,2.0,Packers,Dave Hampton 1 yard rush (Mike Mercer kick),3,14
3,3.0,Falcons,Bruce Lemmerman 1 yard rush (Bob Etter kick),10,14
4,4.0,Packers,Marv Fleming 3 yard pass from Bart Starr (Mike Mercer kick),10,21
5,4.0,Packers,Herb Adderley 80 yard interception return (Mike Mercer kick),10,28
