,Quarter,Time,Tm,Detail,NYG,CIN
0,1.0,5:26,Bengals,Chad Johnson 5 yard pass from Jon Kitna (Shayne Graham kick),0,7
1,2.0,12:49,Giants,Tiki Barber 1 yard rush (Steve Christie kick),7,7
2,2.0,9:46,Bengals,Shayne Graham 42 yard field goal,7,10
3,2.0,5:22,Giants,Steve Christie 31 yard field goal,10,10
4,2.0,0:00,Giants,Steve Christie 36 yard field goal,13,10
5,3.0,7:36,Giants,Steve Christie 44 yard field goal,16,10
6,3.0,1:21,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),16,17
7,4.0,12:38,Giants,Steve Christie 41 yard field goal,19,17
8,4.0,5:15,Giants,Steve Christie 28 yard field goal,22,17
9,4.0,0:44,Bengals,Chad Johnson 4 yard pass from Jon Kitna (pass failed),22,23
