,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Ray Alexander 18 yard pass from Steve Pelluer (Roger Ruzek kick),7,0
1,1.0,Cowboys,Timmy Newsome 1 yard rush (Roger Ruzek kick),14,0
2,1.0,Cowboys,Roger Ruzek 26 yard field goal,17,0
3,2.0,Cowboys,Roger Ruzek 34 yard field goal,20,0
4,2.0,Eagles,Keith Byars 11 yard pass from Randall Cunningham (Luis Zendejas kick),20,7
5,3.0,Eagles,Luis Zendejas 39 yard field goal,20,10
6,3.0,Cowboys,Roger Ruzek 30 yard field goal,23,10
7,4.0,Eagles,Anthony Toney 7 yard rush (Luis Zendejas kick),23,17
8,4.0,Eagles,Anthony Toney 2 yard pass from Randall Cunningham (Luis Zendejas kick),23,24
