,Quarter,Time,Tm,Detail,ARI,SFO
0,1.0,11:56,49ers,Robbie Gould 52 yard field goal,0,3
1,1.0,10:05,49ers,Raheem Mostert 76 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,10
2,1.0,7:05,Cardinals,Chase Edmonds 10 yard pass from Kyler Murray (Zane Gonzalez kick),7,10
3,2.0,0:33,49ers,Robbie Gould 24 yard field goal,7,13
4,2.0,0:02,Cardinals,Zane Gonzalez 56 yard field goal,10,13
5,4.0,10:35,Cardinals,Kyler Murray 22 yard rush (Zane Gonzalez kick),17,13
6,4.0,8:42,49ers,Jerick McKinnon 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,20
7,4.0,5:07,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),24,20
