,Quarter,Tm,Detail,CHI,FRN
0,2,Bears,Red Grange 1 yard rush (Joey Sternaman kick),7,0
1,3,Yellow Jackets,Ben Jones 52 yard pass from Hust Stockton (Tex Hamer kick),7,7
2,4,Bears,Red Grange 1 yard rush (Joey Sternaman kick),14,7
