,Quarter,Tm,Detail,PIT,BAL
0,1.0,Steelers,Matt Bahr 25 yard field goal,3,0
1,2.0,Steelers,Matt Bahr 29 yard field goal,6,0
2,2.0,Colts,Sanders Shiver 34 yard interception return (Steve Mike-Mayer kick),6,7
3,2.0,Steelers,Franco Harris 10 yard pass from Terry Bradshaw (Matt Bahr kick),13,7
4,3.0,Colts,Ray Butler 15 yard pass from Bert Jones (Steve Mike-Mayer kick),13,14
5,3.0,Colts,Steve Mike-Mayer 20 yard field goal,13,17
6,4.0,Steelers,Jim Smith 24 yard pass from Terry Bradshaw (Matt Bahr kick),20,17
