,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,10:45,Ravens,John Brown 33 yard pass from Joe Flacco (Justin Tucker kick),7,0
1,1.0,8:03,Ravens,Alex Collins 3 yard pass from Joe Flacco (Justin Tucker kick),14,0
2,2.0,14:07,Steelers,Chris Boswell 34 yard field goal,14,3
3,2.0,6:26,Steelers,Chris Boswell 39 yard field goal,14,6
4,2.0,2:50,Steelers,Antonio Brown 26 yard pass from Ben Roethlisberger (James Conner pass from Ben Roethlisberger),14,14
5,3.0,3:58,Ravens,Justin Tucker 47 yard field goal,17,14
6,4.0,11:42,Ravens,Justin Tucker 49 yard field goal,20,14
7,4.0,3:37,Ravens,Justin Tucker 28 yard field goal,23,14
8,4.0,1:56,Ravens,Justin Tucker 31 yard field goal,26,14
