,Quarter,Time,Tm,Detail,DET,PIT
0,1.0,,Steelers,Norm Johnson 39 yard field goal,0,3
1,2.0,,Steelers,Norm Johnson 47 yard field goal,0,6
2,2.0,,Lions,Brett Perriman 5 yard pass from Scott Mitchell (Jason Hanson kick),7,6
3,2.0,,Lions,Jason Hanson 43 yard field goal,10,6
4,3.0,,Steelers,Bam Morris 5 yard rush (Norm Johnson kick),10,13
5,4.0,,Steelers,Bam Morris 1 yard rush (Norm Johnson kick),10,20
6,4.0,,Lions,Herman Moore 27 yard pass from Scott Mitchell (Jason Hanson kick),17,20
7,4.0,,Lions,Jason Hanson 36 yard field goal,20,20
8,4.0,,Steelers,Norm Johnson 31 yard field goal,20,23
