,Quarter,Time,Tm,Detail,TEN,BAL
0,1.0,3:42,Titans,Jonnu Smith 12 yard pass from Ryan Tannehill (Greg Joseph kick),7,0
1,2.0,14:53,Titans,Kalif Raymond 45 yard pass from Ryan Tannehill (Greg Joseph kick),14,0
2,2.0,5:57,Ravens,Justin Tucker 49 yard field goal,14,3
3,2.0,0:03,Ravens,Justin Tucker 22 yard field goal,14,6
4,3.0,6:59,Titans,Corey Davis 3 yard pass from Derrick Henry (Greg Joseph kick),21,6
5,3.0,4:20,Titans,Ryan Tannehill 1 yard rush (Greg Joseph kick),28,6
6,4.0,11:09,Ravens,Hayden Hurst 15 yard pass from Lamar Jackson (pass failed),28,12
