,Quarter,Time,Tm,Detail,NOR,BAL
0,1.0,3:04,Ravens,Matt Stover 36 yard field goal,0,3
1,2.0,14:12,Ravens,Priest Holmes 34 yard pass from Tony Banks (Matt Stover kick),0,10
2,2.0,0:24,Ravens,Justin Armour 6 yard pass from Tony Banks (Matt Stover kick),0,17
3,4.0,14:14,Ravens,Qadry Ismail 47 yard pass from Tony Banks (Matt Stover kick),0,24
4,4.0,10:30,Saints,Keith Poole 20 yard pass from Billy Joe Tolliver (Cam Cleeland pass from Billy Joe Tolliver),8,24
5,4.0,1:49,Ravens,Corey Harris 24 yard interception return (Matt Stover kick),8,31
