,Quarter,Time,Tm,Detail,NWE,SDG
0,1.0,,Patriots,Terry Glenn 8 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,0
1,1.0,,Patriots,Keith Byars 19 yard pass from Drew Bledsoe (Adam Vinatieri kick),14,0
2,1.0,,Chargers,Tony Martin 46 yard pass from Stan Humphries (John Carney kick),14,7
3,2.0,,Patriots,Sam Gash 7 yard pass from Drew Bledsoe (Adam Vinatieri kick),21,7
4,2.0,,Patriots,Willie McGinest defensive fumble recovery in end zone (Adam Vinatieri kick),28,7
5,2.0,,Patriots,Adam Vinatieri 47 yard field goal,31,7
6,3.0,,Patriots,Shawn Jefferson 11 yard pass from Drew Bledsoe (Adam Vinatieri kick),38,7
7,3.0,,Patriots,Corwin Brown 42 yard fumble return (Adam Vinatieri kick),45,7
