,Quarter,Time,Tm,Detail,STL,CIN
0,1.0,8:05,Bengals,Doug Pelfrey 26 yard field goal,0,3
1,1.0,5:35,Rams,Az-Zahir Hakim 9 yard pass from Kurt Warner (Jeff Wilkins kick),7,3
2,2.0,11:38,Rams,Robert Holcombe 1 yard rush (Jeff Wilkins kick),14,3
3,2.0,3:05,Rams,Az-Zahir Hakim 51 yard pass from Kurt Warner (Jeff Wilkins kick),21,3
4,3.0,12:59,Rams,Az-Zahir Hakim 84 yard punt return (Jeff Wilkins kick),28,3
5,3.0,2:32,Rams,Az-Zahir Hakim 18 yard pass from Kurt Warner (Jeff Wilkins kick),35,3
6,4.0,10:42,Rams,Jeff Wilkins 19 yard field goal,38,3
7,4.0,2:26,Bengals,Akili Smith 1 yard rush (Doug Pelfrey kick),38,10
