,Quarter,Tm,Detail,CLE,SFO
0,2.0,49ers,Jerry Rice 14 yard pass from Joe Montana (Mike Cofer kick),0,7
1,2.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),0,14
2,3.0,Browns,Jerry Kauric 45 yard field goal,3,14
3,3.0,49ers,Mike Cofer 40 yard field goal,3,17
4,4.0,Browns,Webster Slaughter 11 yard pass from Mike Pagel (Jerry Kauric kick),10,17
5,4.0,Browns,Ozzie Newsome 4 yard pass from Mike Pagel (Jerry Kauric kick),17,17
6,4.0,49ers,Mike Cofer 45 yard field goal,17,20
