,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Raul Allegre 25 yard field goal,0,3
1,2.0,Cowboys,Mike Renfro 11 yard pass from Steve Pelluer (Rafael Septien kick),7,3
2,2.0,Giants,Joe Morris 8 yard rush (Raul Allegre kick),7,10
3,4.0,Giants,Joe Morris 6 yard rush (Raul Allegre kick),7,17
4,4.0,Cowboys,Tony Dorsett 23 yard rush (Rafael Septien kick),14,17
