,Quarter,Tm,Detail,DET,WAS
0,3.0,Lions,Wayne Walker 17 yard field goal,3,0
1,4.0,Redskins,Bob Brunet 39 yard pass from Harry Theofiledes (Charlie Gogolak kick),3,7
2,4.0,Redskins,Pete Larson 2 yard rush (Charlie Gogolak kick),3,14
