,Quarter,Time,Tm,Detail,DEN,OAK
0,1.0,,Raiders,Jeff Hostetler 5 yard rush (Cole Ford kick),0,7
1,1.0,,Broncos,Shannon Sharpe 10 yard pass from John Elway (Jason Elam kick),7,7
2,2.0,,Broncos,Jason Elam 36 yard field goal,10,7
3,2.0,,Broncos,Jason Elam 43 yard field goal,13,7
4,4.0,,Broncos,Jason Elam 28 yard field goal,16,7
5,4.0,,Raiders,Derrick Fenner 15 yard pass from Jeff Hostetler (Cole Ford kick),16,14
6,4.0,,Raiders,Tim Brown 42 yard pass from Jeff Hostetler (Cole Ford kick),16,21
7,4.0,,Broncos,Rod Smith 49 yard pass from John Elway (pass failed),22,21
