,Quarter,Tm,Detail,DEN,KAN
0,1.0,Chiefs,Jan Stenerud 28 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 46 yard field goal,0,6
2,3.0,Chiefs,Jan Stenerud 37 yard field goal,0,9
3,4.0,Broncos,Fran Lynch 1 yard rush,6,9
4,4.0,Chiefs,Jan Stenerud 23 yard field goal,6,12
5,4.0,Chiefs,Mike Livingston 8 yard rush (Jan Stenerud kick),6,19
6,4.0,Chiefs,Billy Masters 7 yard pass from Mike Livingston (Jan Stenerud kick),6,26
7,4.0,Broncos,Jon Keyworth 19 yard pass from Steve Ramsey (Jim Turner kick),13,26
