,Quarter,Tm,Detail,GNB,NYJ
0,1.0,Jets,Kevin Long 1 yard rush (Pat Leahy kick),0,7
1,2.0,Packers,Jan Stenerud 31 yard field goal,3,7
2,2.0,Jets,Bruce Harper 3 yard rush (Pat Leahy kick),3,14
3,2.0,Jets,Lam Jones 47 yard pass from Richard Todd (Pat Leahy kick),3,21
4,4.0,Jets,Wesley Walker 38 yard pass from Richard Todd (Pat Leahy kick),3,28
