,Quarter,Tm,Detail,PIT,WAS
0,1,Steelers,Gary Glick 35 yard field goal,3,0
1,2,Redskins,Sam Baker 45 yard field goal,3,3
2,4,Redskins,Sam Baker 11 yard rush (Sam Baker kick),3,10
