,Quarter,Time,Tm,Detail,DAL,WAS
0,1.0,,Redskins,Leslie Shepherd 40 yard pass from Trent Green (Cary Blanchard kick),0,7
1,1.0,,Cowboys,Richie Cunningham 42 yard field goal,3,7
2,2.0,,Cowboys,Emmitt Smith 3 yard rush (Richie Cunningham kick),10,7
3,2.0,,Cowboys,Ernie Mills 43 yard pass from Jason Garrett (Richie Cunningham kick),17,7
4,2.0,,Redskins,Cary Blanchard 31 yard field goal,17,10
5,3.0,,Cowboys,Chris Warren 6 yard rush (Richie Cunningham kick),24,10
6,4.0,,Cowboys,Chris Warren 6 yard rush (Richie Cunningham kick),31,10
