,Quarter,Tm,Detail,NYG,POT
0,1,Giants,Tony Plansky 3 yard rush,6,0
1,2,Giants,Al Bloodgood 95 yard punt return,12,0
2,3,Maroons,Jack Ernst 51 yard pass from Hap Moran,12,6
