,Quarter,Tm,Detail,NYJ,CIN
0,1.0,Bengals,Isaac Curtis 32 yard pass from Ken Anderson (Jim Breech kick),0,7
1,1.0,Jets,Pat Leahy 33 yard field goal,3,7
2,1.0,Bengals,Dan Ross 2 yard pass from Ken Anderson (Jim Breech kick),3,14
3,2.0,Jets,Derrick Gaffney 14 yard pass from Freeman McNeil (Pat Leahy kick),10,14
4,2.0,Jets,Wesley Walker 4 yard pass from Richard Todd (Pat Leahy kick),17,14
5,2.0,Jets,Pat Leahy 24 yard field goal,20,14
6,3.0,Jets,Pat Leahy 47 yard field goal,23,14
7,3.0,Bengals,Jim Breech 20 yard field goal,23,17
8,4.0,Jets,Freeman McNeil 20 yard rush (Pat Leahy kick),30,17
9,4.0,Jets,Darrol Ray 98 yard interception return (Pat Leahy kick),37,17
10,4.0,Jets,Dwayne Crutchfield 1 yard rush (Pat Leahy kick),44,17
