,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,11:23,Cowboys,Greg Zuerlein 24 yard field goal,0,3
1,1.0,6:59,Giants,Evan Engram 3 yard rush (Graham Gano kick),7,3
2,1.0,6:01,Giants,Kyler Fackrell 46 yard interception return (Graham Gano kick),14,3
3,2.0,13:35,Giants,Graham Gano 55 yard field goal,17,3
4,2.0,6:34,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick),17,10
5,2.0,5:08,Cowboys,Anthony Brown 29 yard fumble return (Greg Zuerlein kick),17,17
6,2.0,0:56,Giants,Graham Gano 50 yard field goal,20,17
7,2.0,0:23,Cowboys,Dak Prescott 11 yard pass from Cedrick Wilson (Greg Zuerlein kick),20,24
8,3.0,9:30,Giants,Graham Gano 54 yard field goal,23,24
9,3.0,5:08,Cowboys,Ezekiel Elliott 12 yard rush (Greg Zuerlein kick),23,31
10,4.0,11:12,Giants,Graham Gano 28 yard field goal,26,31
11,4.0,8:51,Giants,Devonta Freeman 4 yard rush (Andrew Thomas pass from Daniel Jones ),34,31
12,4.0,2:00,Cowboys,Greg Zuerlein 40 yard field goal,34,34
13,4.0,0:03,Cowboys,Greg Zuerlein 34 yard field goal,34,37
