,Quarter,Tm,Detail,NOR,ATL
0,1.0,Saints,Hoby Brenner 37 yard pass from Richard Todd (Morten Andersen kick),7,0
1,1.0,Saints,Morten Andersen 47 yard field goal,10,0
2,2.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),10,7
3,2.0,Falcons,Mick Luckhurst 39 yard field goal,10,10
4,3.0,Falcons,Mick Luckhurst 24 yard field goal,10,13
5,4.0,Saints,Hoby Brenner 17 yard pass from Richard Todd (Morten Andersen kick),17,13
